,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel
19,20.0,卡姿兰口红持久保湿不脱色韩国防水不沾杯学生滋润唇膏官方正品女,55.0,7730.0,江苏 南京,卡姿兰恋尚专卖店,//detail.tmall.com/item.htm?id=42570259611&ns=1&abbucket=13,425150.0,天猫,商家,其他,40-60
20,21.0,Givenchy纪梵希小羊皮304#305#306#307#325口红326唇膏禁忌之吻11,178.0,1985.0,上海,xiaobin0180,//item.taobao.com/item.htm?id=535476025839&ns=1&abbucket=13#detail,353330.0,其他,个人,Givenchy/纪梵希,160-180
21,22.0,英国charlotte tilbury CT豆沙色哑光雾面口红唇膏walkofshame,195.0,143.0,广东 深圳,我是恶魔城,//item.taobao.com/item.htm?id=542746201847&ns=1&abbucket=13#detail,27885.0,其他,个人,其他,180-200
22,23.0,MAC/魅可当季潮色 正品子弹头口红唇膏mocha/dareyou/lady danger,170.0,19341.0,浙江 杭州,mac魅可官方旗舰店,//detail.tmall.com/item.htm?id=558803677297&ns=1&abbucket=13,3287970.0,天猫,商家,MAC/魅可,160-180
23,24.0,韩国Dior迪奥口红999烈艳蓝金唇膏烈焰金属哑光滋润夹心唇釉正品,245.0,1900.0,江苏 南京,鲍鲍1128,//item.taobao.com/item.htm?id=562395584478&ns=1&abbucket=13#detail,465500.0,其他,个人,Dior/迪奥,240-260
24,25.0,礼物TOMFORD TF汤姆福特唇膏口红黑管保湿持久15 16 80白管07 05,278.0,2274.0,浙江 杭州,相差一个逗号,//item.taobao.com/item.htm?id=550885453210&ns=1&abbucket=13#detail,632172.0,其他,个人,Ford/福特,260-280
25,26.0,mac口红mac mac/魅可姨妈色 mac草莓红小辣椒口红mac chili mocha,140.0,2842.0,上海,tys0887879,//item.taobao.com/item.htm?id=544435147131&ns=1&abbucket=13#detail,397880.0,其他,个人,MAC/魅可,140-160
26,27.0,正品专柜Christian Louboutin萝卜丁女王权杖口红CL黑管001M刻字,737.0,627.0,广东 广州,脯拘孝譬,//item.taobao.com/item.htm?id=544568418893&ns=1&abbucket=13#detail,462099.0,其他,个人,其他,400以上
27,28.0,【官方正品】纪梵希禁忌之吻霓虹唇膏口红不脱色 持久滋润 N11,320.0,6025.0,上海,givenchy纪梵希官方旗舰店,//detail.tmall.com/item.htm?id=563506345238&ns=1&abbucket=13,1928000.0,天猫,商家,Givenchy/纪梵希,320-340
28,29.0,雅诗兰黛唇膏口红倾慕魅色唇膏 持久保湿滋润 防水不脱色 豆沙色,270.0,8730.0,浙江 杭州,雅诗兰黛官方旗舰店,//detail.tmall.com/item.htm?id=43502413713&ns=1&abbucket=13,2357100.0,天猫,商家,其他,260-280
29,30.0,卡姿兰口红持久保湿不脱色韩国防水不沾杯抖音哑光豆沙鎏金色正品,109.0,6710.0,江苏 南京,卡姿兰恋尚专卖店,//detail.tmall.com/item.htm?id=552847758383&ns=1&abbucket=13,731390.0,天猫,商家,其他,100-120
30,31.0,娇兰口红臻彩宝石唇膏 冰冰女王红 自带口红镜 持久保湿,435.0,1074.0,上海,guerlain娇兰官方旗舰店,//detail.tmall.com/item.htm?id=537487583257&ns=1&abbucket=13,467190.0,天猫,商家,其他,400以上
31,32.0,美康粉黛口红正品持久保湿滋润防水不易脱色学生西柚色国产唇膏,25.9,50998.0,江苏 南京,美康粉黛旗舰店,//detail.tmall.com/item.htm?id=520170342131&ns=1&abbucket=13,1320848.2,天猫,商家,其他,20-40
33,34.0,雅诗兰黛唇膏口红恋爱唇膏 持久保湿 滋润防水不脱色 310火星红,230.0,13679.0,浙江 杭州,雅诗兰黛官方旗舰店,//detail.tmall.com/item.htm?id=557921801068&ns=1&abbucket=13,3146170.0,天猫,商家,其他,220-240
34,35.0,【4月聚】兰芝双色立体唇彩染唇膏 双色V型唇膏口红唇釉滋润,185.0,758.0,浙江 嘉兴,兰芝官方旗舰店,//detail.tmall.com/item.htm?id=561133642732&ns=1&abbucket=13,140230.0,天猫,商家,其他,180-200
35,36.0,稚优泉口红哑光唇膏正品持久保湿防水不容易脱色豆沙色姨妈学生款,59.9,117473.0,上海,稚优泉化妆品旗舰店,//detail.tmall.com/item.htm?id=524116621469&ns=1&abbucket=13,7036632.7,天猫,商家,Chioture/稚优泉,40-60
36,37.0,美康粉黛雾面丝绒口红持久保湿滋润防水豆沙色哑光唇膏孕妇可用,39.0,140824.0,江苏 南京,美康粉黛旗舰店,//detail.tmall.com/item.htm?id=527284184837&ns=1&abbucket=13,5492136.0,天猫,商家,其他,20-40
37,38.0,Dior迪奥烈焰蓝金唇膏烈艳蓝星口红持久保湿哑光999/520送礼盒,229.0,1054.0,广东 深圳,x_c406,//item.taobao.com/item.htm?id=564693950754&ns=1&abbucket=13#detail,241366.0,其他,个人,Dior/迪奥,220-240
39,40.0,纪梵希小羊皮口红新春限量版粉色 305/303/304/315/317/306/325,195.5,252.0,浙江 杭州,品质专注为你,//item.taobao.com/item.htm?id=526495834783&ns=1&abbucket=13#detail,49266.0,其他,个人,Givenchy/纪梵希,180-200
40,41.0,专柜迪奥变色磨砂唇膏粉漾魅惑润唇蜜口红保湿滋润001/004/005,205.0,3843.0,浙江 杭州,小也官方旗舰店,//detail.tmall.com/item.htm?id=19219640853&ns=1&abbucket=13,787815.0,天猫,商家,Dior/迪奥,200-220
41,42.0,【官方正品】阿玛尼小胖丁口红雾面哑光染唇液 持久滋润豆沙色506,340.0,4440.0,江苏 苏州,阿玛尼美妆官方旗舰店,//detail.tmall.com/item.htm?id=562297039068&ns=1&abbucket=13,1509600.0,天猫,商家,其他,340-360
